TestTime,ChipSN,init_chip_results
1692728361,3H00001,0
1692728375,3H00001,0
1692728394,3H0002,0
1692728427,3H0002,0
1692728464,3H0003,0
1692728501,3H0004,0
1692728539,3H0005,0
1692728572,3H0005,0
1692728609,3H0006,0
1692728642,3H0006,0
1692728680,3H0007,0
1692728717,3H0008,0
1692728750,3H0008,0
1692728787,3H0009,0
1692728819,3H0009,0
1692728856,3H0010,0
1692728894,3H0011,0
1692728927,3H0011,0
1692728964,3H0012,0
1692728997,3H0012,0
1692729034,3H0013,0
1692729072,3H0014,0
1692729104,3H0014,0
1692729141,3H0015,0
1692729179,3H0016,0
1692729217,3H0017,0
1692729250,3H0017,0
1692729287,3H0018,0
1692729320,3H0018,0
1692729358,3H0019,0
1692729395,3H0020,0
1692729432,3H0021,0
1692729469,3H0022,0
1692729502,3H0022,0
1692729539,3H0023,0
1692729576,3H0024,0
1692729614,3H0025,0
1692729651,3H0026,0
1692729684,3H0026,0
1692729721,3H0027,0
1692729754,3H0027,0
1692729791,3H0028,0
1692729829,3H0029,0
1692729866,3H0030,0
1692729899,3H0030,0
1692729936,3H0031,0
1692729969,3H0031,0
1692730006,3H0032,0
1692730039,3H0032,0
1692730076,3H0033,0
1692730114,3H0034,0
1692730151,3H0035,0
1692730188,3H0036,0
1692730226,3H0037,0
1692730259,3H0037,0
1692730297,3H0038,0
1692730334,3H0039,0
1692730367,3H0039,0
1692730404,3H0040,0
1692730437,3H0040,0
1692730475,3H0041,0
1692730512,3H0042,0
1692730550,3H0043,0
1692730582,3H0043,0
1692730620,3H0044,0
1692730653,3H0044,0
1692730690,3H0045,0
1692730728,3H0046,0
1692730761,3H0046,0
1692730798,3H0047,0
1692730835,3H0048,0
1692730868,3H0048,0
1692730906,3H0049,0
1692730939,3H0049,0
1692730976,3H0050,0
1692731013,3H0051,0
1692731051,3H0052,0
1692731088,3H0053,0
1692731125,3H0054,0
1692731163,3H0055,0
1692731196,3H0055,0
1692731233,3H0056,0
1692731270,3H0057,0
1692731307,3H0058,0
1692731345,3H0059,0
1692731382,3H0060,0
1692731420,3H0061,0
1692731453,3H0061,0
1692731490,3H0062,0
1692731524,3H0062,0
1692731560,3H0063,0
1692731594,3H0063,0
1692731632,3H0064,0
1692731665,3H0064,0
1692731702,3H0065,0
1692731735,3H0065,0
