,runtime,Mean,Std,Nent,ChanName,Chan,ChipSN,io_group,io_channel
19,1692728434,20.51,0.83,1221,ch19,19,3H0002,1,5
20,1692728434,15.59,0.91,1225,ch20,20,3H0002,1,5
21,1692728434,17.74,0.84,1208,ch21,21,3H0002,1,5
22,1692728434,19.29,0.84,1209,ch22,22,3H0002,1,5
23,1692728434,17.53,0.88,1217,ch23,23,3H0002,1,5
24,1692728434,17.86,0.89,1212,ch24,24,3H0002,1,5
25,1692728434,22.14,0.99,1226,ch25,25,3H0002,1,5
26,1692728434,15.91,0.91,1227,ch26,26,3H0002,1,5
27,1692728434,18.22,0.85,1217,ch27,27,3H0002,1,5
28,1692728434,16.13,0.87,1215,ch28,28,3H0002,1,5
29,1692728434,19.34,0.83,1215,ch29,29,3H0002,1,5
30,1692728434,21.53,0.87,1222,ch30,30,3H0002,1,5
31,1692728434,20.45,0.8,1622,ch31,31,3H0002,1,5
32,1692728434,19.7,0.84,1268,ch32,32,3H0002,1,5
33,1692728434,17.2,0.86,1205,ch33,33,3H0002,1,5
34,1692728434,18.89,0.84,1222,ch34,34,3H0002,1,5
35,1692728434,15.84,0.86,1220,ch35,35,3H0002,1,5
36,1692728434,16.51,0.86,1222,ch36,36,3H0002,1,5
37,1692728434,17.81,0.83,1210,ch37,37,3H0002,1,5
38,1692728434,16.75,0.88,1218,ch38,38,3H0002,1,5
39,1692728434,17.82,0.91,1204,ch39,39,3H0002,1,5
40,1692728434,16.88,1.79,1212,ch40,40,3H0002,1,5
41,1692728434,14.58,0.93,1153,ch41,41,3H0002,1,5
42,1692728434,15.14,0.94,1201,ch42,42,3H0002,1,5
43,1692728434,16.1,0.86,1211,ch43,43,3H0002,1,5
44,1692728434,19.83,0.83,1737,ch44,44,3H0002,1,5
45,1692728434,15.71,0.89,1288,ch45,45,3H0002,1,5
46,1692728434,17.21,0.84,1212,ch46,46,3H0002,1,5
47,1692728434,19.28,0.85,1216,ch47,47,3H0002,1,5
48,1692728434,17.96,0.81,1209,ch48,48,3H0002,1,5
49,1692728434,17.4,0.84,1214,ch49,49,3H0002,1,5
50,1692728434,14.59,0.9,1214,ch50,50,3H0002,1,5
51,1692728434,17.56,0.97,1220,ch51,51,3H0002,1,5
52,1692728434,17.74,0.84,1214,ch52,52,3H0002,1,5
53,1692728434,17.93,0.84,1219,ch53,53,3H0002,1,5
54,1692728434,18.74,0.86,1212,ch54,54,3H0002,1,5
55,1692728434,18.11,0.93,1216,ch55,55,3H0002,1,5
56,1692728434,13.76,2.64,1213,ch56,56,3H0002,1,5
57,1692728434,15.12,1.03,1201,ch57,57,3H0002,1,5
58,1692728434,21.57,0.85,1214,ch58,58,3H0002,1,5
59,1692728434,20.83,0.9,1838,ch59,59,3H0002,1,5
60,1692728434,19.33,0.84,1298,ch60,60,3H0002,1,5
61,1692728434,16.19,0.85,1219,ch61,61,3H0002,1,5
62,1692728434,21.66,0.84,1209,ch62,62,3H0002,1,5
63,1692728434,19.71,0.82,1121,ch63,63,3H0002,1,5
0,1692728471,15.82,1.03,1202,ch00,0,3H0003,1,5
1,1692728471,13.4,0.87,1204,ch01,1,3H0003,1,5
2,1692728471,14.01,0.88,1223,ch02,2,3H0003,1,5
3,1692728471,16.24,0.85,1211,ch03,3,3H0003,1,5
4,1692728471,17.63,0.82,1200,ch04,4,3H0003,1,5
5,1692728471,21.8,0.86,1212,ch05,5,3H0003,1,5
6,1692728471,18.9,0.84,1525,ch06,6,3H0003,1,5
7,1692728471,19.88,0.85,1248,ch07,7,3H0003,1,5
8,1692728471,15.96,0.92,1214,ch08,8,3H0003,1,5
9,1692728471,18.93,0.85,1215,ch09,9,3H0003,1,5
10,1692728471,11.93,0.83,1216,ch10,10,3H0003,1,5
11,1692728471,15.77,0.84,1211,ch11,11,3H0003,1,5
12,1692728471,19.3,0.84,1216,ch12,12,3H0003,1,5
13,1692728471,21,0.85,1202,ch13,13,3H0003,1,5
14,1692728471,15.98,0.87,1216,ch14,14,3H0003,1,5
15,1692728471,18.11,0.81,1212,ch15,15,3H0003,1,5
16,1692728471,19.85,0.85,1212,ch16,16,3H0003,1,5
17,1692728471,17.81,0.81,1217,ch17,17,3H0003,1,5
18,1692728471,18.38,0.88,1222,ch18,18,3H0003,1,5
19,1692728471,18.31,0.85,1562,ch19,19,3H0003,1,5
20,1692728471,16.55,0.9,1285,ch20,20,3H0003,1,5
21,1692728471,15.44,0.91,1193,ch21,21,3H0003,1,5
22,1692728471,18.3,0.85,1198,ch22,22,3H0003,1,5
23,1692728471,19.2,0.91,1214,ch23,23,3H0003,1,5
24,1692728471,15.65,1.05,1214,ch24,24,3H0003,1,5
25,1692728471,15.39,0.93,1205,ch25,25,3H0003,1,5
26,1692728471,19.46,0.86,1208,ch26,26,3H0003,1,5
27,1692728471,16.12,0.91,1221,ch27,27,3H0003,1,5
28,1692728471,16.09,0.89,1217,ch28,28,3H0003,1,5
29,1692728471,16.05,0.84,1225,ch29,29,3H0003,1,5
30,1692728471,18.26,0.82,1205,ch30,30,3H0003,1,5
31,1692728471,19.56,0.86,1224,ch31,31,3H0003,1,5
32,1692728471,16.32,0.84,1633,ch32,32,3H0003,1,5
33,1692728471,19.38,0.87,1271,ch33,33,3H0003,1,5
34,1692728471,16.49,0.88,1224,ch34,34,3H0003,1,5
35,1692728471,19.99,0.84,1227,ch35,35,3H0003,1,5
36,1692728471,17.12,0.86,1221,ch36,36,3H0003,1,5
37,1692728471,11.38,0.85,1213,ch37,37,3H0003,1,5
38,1692728471,16.51,0.86,1230,ch38,38,3H0003,1,5
39,1692728471,18.75,0.87,1213,ch39,39,3H0003,1,5
40,1692728471,16.85,1.67,1217,ch40,40,3H0003,1,5
41,1692728471,20.34,0.88,1216,ch41,41,3H0003,1,5
42,1692728471,17.18,0.85,1199,ch42,42,3H0003,1,5
43,1692728471,19.31,0.86,1210,ch43,43,3H0003,1,5
44,1692728471,18.4,0.81,1226,ch44,44,3H0003,1,5
45,1692728471,17.1,0.85,1735,ch45,45,3H0003,1,5
46,1692728471,20.65,0.81,1297,ch46,46,3H0003,1,5
47,1692728471,16.81,0.83,1205,ch47,47,3H0003,1,5
48,1692728471,14.21,0.89,1208,ch48,48,3H0003,1,5
49,1692728471,18.76,0.82,1217,ch49,49,3H0003,1,5
50,1692728471,15.06,0.93,1211,ch50,50,3H0003,1,5
51,1692728471,16.94,0.85,1215,ch51,51,3H0003,1,5
52,1692728471,14.87,0.95,1209,ch52,52,3H0003,1,5
